Value|Category|Answer|Question
400|BUSINESS & INDUSTRY|Tandy Corporation|This company, the owner of Radio Shack, closed its Incredible Universe stores in 1997
500|BUSINESS & INDUSTRY|Hewlett-Packard|A big name in computers, this company is known as HP for short
100|5-LETTER WORDS|Range & stove|The 2 5-letter words for the appliance being repaired here:
200|5-LETTER WORDS|Cruet|It's a glass bottle used to hold vinegar or oil for salad dressing
300|5-LETTER WORDS|Biddy|This diminutive of Bridget usually refers to a fussy old woman
400|5-LETTER WORDS|a knoll|A small rounded hill or mound; there's a grassy one in Dallas
500|5-LETTER WORDS|a staff|A flagpole, a group of nurses in a hospital or a cudgel
100|SOUTHERNMOST POINTS|Cape Horn|Willem Schouten was the first to sail around this cape, South America's southernmost point
200|SOUTHERNMOST POINTS|the Everglades|The southernmost point on the USA's mainland is Cape Sable in this Florida national park
300|SOUTHERNMOST POINTS|Guatemala|Mexico's southernmost point lies on its Pacific coast border with this country
400|SOUTHERNMOST POINTS|Malaysia|Asia's southernmost mainland point, Cape Piai, lies in this country just north of Singapore
500|SOUTHERNMOST POINTS|Lake Erie|Canada's southernmost point is Middle Island in this Great Lake
100|OLD TESTAMENT NUDITY|Adam & Eve|Hopefully when they sewed fig leaves together to cover their nakedness, it wasn't in a sweatshop
200|OLD TESTAMENT NUDITY|Noah|Shem & Japheth covered him up after Ham found him drunk & naked
300|OLD TESTAMENT NUDITY|an altar|Exodus 20 says you can't build one of these out of hewed stone & priests cannot be naked on it
400|OLD TESTAMENT NUDITY|Isaiah|Subject of the longest prophetic book, he once wandered nude & barefoot for three years
500|OLD TESTAMENT NUDITY|Saul|After prophesying, this 1st king of Israel stayed in bed, undressed, for a whole day
100|U.S. AIRPORT DESIGNATIONS|Salt Lake City|SLC
200|U.S. AIRPORT DESIGNATIONS|Phoenix|PHX
300|U.S. AIRPORT DESIGNATIONS|Albuquerque|ABQ
400|U.S. AIRPORT DESIGNATIONS|San Francisco|SFO
500|U.S. AIRPORT DESIGNATIONS|Sioux City, Iowa|SUX
100|FOOD & DRINK|Daiquiri|You can add your favorite fruit to this rum & lime cocktail named for a district in Cuba
200|FOOD & DRINK|anchovies|Caesar Cardini, who wanted his Caesar salad subtly flavored, was against using this fish in the recipe
300|FOOD & DRINK|a Slurpee|Cherry Coke & Blue Bubble Gum are among the flavors of this semi-frozen concoction from 7-Eleven
400|FOOD & DRINK|Cobb salad|This salad with chopped turkey, avocado, bacon & blue cheese was created at L.A.'s Brown Derby Restaurant
500|FOOD & DRINK|Thailand|Sing out if you know that Singha beer comes from this country
100|VENEZUELA VITALS|Christopher Columbus|In 1498 he first set foot on the South American mainland in what is now Venezuela
200|VENEZUELA VITALS|stars|On the Venezuelan flag, there are 3 stripes & 7 of these
300|VENEZUELA VITALS|OPEC (the Organization of Petroleum Exporting Countries)|In 1960 Venezuela formed this organization with Iran, Iraq, Kuwait & Saudi Arabia
400|VENEZUELA VITALS|Angel Falls|Discovered in 1935 & found in Canaima National Park, they fall over half a mile
500|VENEZUELA VITALS|Lake Maracaibo|At 5,200 square miles, it's the largest lake in Venezuela & in all of South America
100|BASEBALL HOME STADIUMS|the Baltimore Orioles|Camden Yards
200|BASEBALL HOME STADIUMS|the Minnesota Twins|The Hubert H. Humphrey Metrodome
300|BASEBALL HOME STADIUMS|the Arizona Diamondbacks|Bank One Ballpark, in Phoenix
400|BASEBALL HOME STADIUMS|the Montreal Expos|Olympic Stadium
500|BASEBALL HOME STADIUMS|the Texas Rangers|The Ballpark at Arlington
100|BRAIN STRAIN|5|The word monosyllable has this many syllables
200|BRAIN STRAIN|Set|A group of things of the same kind, or scenery constructed for a theatrical performance
300|BRAIN STRAIN|4 (four)|From one to ten, the only digit with the same number of letters as its value
400|BRAIN STRAIN|Mohammed|The most common first name in the world is the name of this religious figure
500|BRAIN STRAIN|Q|It's the only letter of the English alphabet that doesn't appear in the name of a U.S. state
100|AT THE CIRCUS|plates|Wolfgang Bartschelly was famous for playing piano while he kept these spinning on the ends of sticks
200|AT THE CIRCUS|contortionists|Once, these performers were called benders or posturers depending on whether they bent forward or back
300|AT THE CIRCUS|net|Rather than this traditional object, Cirque de Soleil's creative studio uses a pit filled with 25,000 foam cubes
400|AT THE CIRCUS|ring|The standard international diameter of one of these is 13 meters, about 42 feet
500|AT THE CIRCUS|Moscow Circus|Often featuring bears, it was the longtime official circus of the USSR
100|YE GODS!|Saturn|By Jove!  This father of Jove has a day & a planet named for him
200|YE GODS!|Ares|2 giants, Otus & Ephialties, once kept this Greek war god in a bronze jar for 13 months
300|YE GODS!|Helios|Later identified with Apollo, his sister Selene was goddess of the moon & he was god of the sun
400|YE GODS!|Hephaestus|The forger of Achilles' armor, some accounts say this Greek god also created Pandora
500|YE GODS!|Horus|In Egyptian myth this son of Isis is the god of the sky
100|ELEMENT SYMBOL SPELLING|heal (He Al)|Helium, aluminum
200|ELEMENT SYMBOL SPELLING|vary (V Ar Y)|Vanadium, argon, yttrium
300|ELEMENT SYMBOL SPELLING|cute (Cu Te)|Copper, tellurium
400|ELEMENT SYMBOL SPELLING|snack (Sn Ac K)|Tin, actinium, potassium
500|ELEMENT SYMBOL SPELLING|wife (W I Fe)|Tungsten, iodide, iron
100|LET'S GET BIBLICAL|Mary Magdalene|She mistakes Jesus for a gardener & Jesus tells the bedeviled woman not to touch him
200|LET'S GET BIBLICAL|Revelation|In this biblical book, war rides a red horse
300|LET'S GET BIBLICAL|Ruth & Esther|They're the 2 books of the Bible named for women
400|LET'S GET BIBLICAL|Judges|Samson, Gideon & Deborah all make appearances in this biblical book with an occupational name
500|LET'S GET BIBLICAL|the Jordan|The book of Mark recounts how John the Baptist baptized believers, including Jesus, in this river
100|SITCOMBOS|Malcolm in the Middle|Hal, Malcolm, Lois
200|SITCOMBOS|Hogan's Heroes|Newkirk, Sgt. Schultz, LeBeau
300|SITCOMBOS|The Andy Griffith Show|Aunt Bee, Barney, Goober
400|SITCOMBOS|The King of Queens|Doug & Carrie Heffernan, Arthur Spooner
500|SITCOMBOS|Barney Miller|Dietrich, Yemana, Fish
100|SCIENCE & NATURE|Antarctica|Today, there are only 2 continental glaciers: one on Greenland & one on this continent
200|SCIENCE & NATURE|mistletoe|It's OK to kiss under this parasitic plant; just don't eat the berries -- that could be the kiss of death
300|SCIENCE & NATURE|python|The reticulated species, the largest of these snakes, may reach a length of 33 feet
400|SCIENCE & NATURE|gibbous|When the moon appears between half & full, it's said to be this, either waxing or waning
500|SCIENCE & NATURE|the tail|This part of the glass snake breaks off to help it escape when grabbed
100|MYTHOLOGY|Aztecs|In the mythology of these people, Yacatecutli was the god of traveling merchants
200|MYTHOLOGY|Osiris|He had a wife, Isis & an evil brother, Set, who was sometimes represented as an ass
300|MYTHOLOGY|Sirens|In early Greek art, these singing water nymphs had the bodies of birds & the faces of beautiful women
400|MYTHOLOGY|a crocodile|Part hippopotamus & part woman, the Egyptian goddess Taweret had the tail of this alligator relative
500|MYTHOLOGY|centaurs|These half-horse, half-man creatures were notorious for misbehaving at parties
100|TRAVEL FUN|Las Vegas|The 50-story replica of the Eiffel Tower seen here isn't in Paris, France, but in this city
200|TRAVEL FUN|Bats|If it's August & you're in Austin, Texas, indulge in a romantic dinner cruise to watch these flying mammals
300|TRAVEL FUN|Switzerland|Consider riding a narrow-gauge train into a salt mine at Bex in this country's Vaud canton
400|TRAVEL FUN|Quebec City|A snowman known as Bonhomme is the symbol of Le Carnaval D'Hiver, the winter carnival in this Canadian city
500|TRAVEL FUN|a turtle|On Grand Cayman Island, visit the farm that raises the green sea type of this reptile
100|A CINEMATIC FEAST|Fried Green Tomatoes|Jessica Tandy spins yarns to Kathy Bates in this tale named for an odd Southern treat
200|A CINEMATIC FEAST|Ratatouille|Peter O'Toole provides the voice for Anton Ego, Paris' most powerful food critic, in this 2007 film
300|A CINEMATIC FEAST|Mystic Pizza|The title eatery in this 1988 Julia Roberts film actually exists in Connecticut
400|A CINEMATIC FEAST|American Pie|This 1999 comedy has spawned at least 5 sequels & shares its name with a No. 1 song from 1972
500|A CINEMATIC FEAST|Bananas|Woody Allen becomes the unlikely leader of fictional San Marcos in this 1971 film
100|SMORGASBORD|1|Total number of moons belonging to the closest 3 planets to the sun
200|SMORGASBORD|the ravens|6 of these were brought inside the Tower of London in 2006 to guard them against bird flu
300|SMORGASBORD|the Exxon Valdez|In 2006, Rep. Dave Reichert marked the anniversary of this 1989 wreck by asking that $4.5 billion finally be paid to Alaskans
400|SMORGASBORD|the Philippines (or East Timor)|One of the 2 predominantly Catholic countries in Asia
500|SMORGASBORD|Janus|The logo for this investment corporation based in Denver is the profile of a head with 2 faces
100|CAPTAINS COURAGEOUS|John Smith|In an early account of Jamestown's first year, he made no mention of his rescue by Pocahontas
200|CAPTAINS COURAGEOUS|Vancouver|A city & island in British Columbia are named for this sea captain who explored the area in 1792
300|CAPTAINS COURAGEOUS|Magellan|It took him & his crew 37 days to traverse the South American strait now named for him
400|CAPTAINS COURAGEOUS|(Abel) Tasman|In 1642 & 1643 this Dutch captain circumnavigated Australia without seeing it
500|CAPTAINS COURAGEOUS|John Paul Jones|King Louis XVI gave this American a gold sword & made him a chevalier of France
100|COLONIAL AMERICA|Benjamin Franklin|In May 1732 he founded the Philadelphische Zeitung, the first foreign-language newspaper in the English colonies
200|COLONIAL AMERICA|The Mayflower Compact|This historic document was signed on November 11, 1620 aboard ship off Cape Cod
300|COLONIAL AMERICA|Delaware|William Penn wanted an outlet to the Atlantic; in 1682, the Duke of York gave him what later became this small colony
400|COLONIAL AMERICA|Cumberland Gap|This Appalachian mountain pass was discovered in 1750 by Thomas Walker & named for the son of King George II
500|COLONIAL AMERICA|Jamestown|In 1676 this 69-year-old Virginia settlement was burned to the ground during Bacon's Rebellion
100|TRAVEL & TOURISM|Club Med|In 2010 this worldwide network of vacation resorts founded by Gerard Blitz celebrated its 60ih anniversary
200|TRAVEL & TOURISM|Hemingway|Key West, Florida has a Lighthouse & Keeper's Museum & a museum devoted to this novelist
300|TRAVEL & TOURISM|the Metropolitan Museum of Art|Popularly called the Met, this museum's collections range from European armor to baseball cards
400|TRAVEL & TOURISM|Auckland|This largest New Zealand city's museum has over 2,000 Maori artifacts, including an 1830s war canoe
500|TRAVEL & TOURISM|Dublin|This capital's O'Connell street, one of Europe's widest, was previously called Sackville street
100|MIDDLE NAMES|Whitcomb|Poet James Riley’s middle name
200|MIDDLE NAMES|Ringling|The middle name of John North, who kept a famous circus going after his uncle died in 1936
300|MIDDLE NAMES|Pierce|Middle name of Franklin Adams, the witty columnist known as F.P.A.
400|MIDDLE NAMES|Lafayette|H.L. Hunt’s middle initial stood for this name which may remind you of a military Marquis
500|MIDDLE NAMES|John D. Rockefeller|Founder of an oil company: Davison
100|LET'S VISIT SPRINGFIELD|Ohio|International Harvester was historically a major employer in Springfield, near Dayton in this state
200|LET'S VISIT SPRINGFIELD|Illinois|Situated on the picturesque Sangamon River, Springfield in this state is served by Capital Airport
300|LET'S VISIT SPRINGFIELD|Missouri|After seeing a show at Juanita K. Hammons Hall in Springfield in this state, you can head on to Branson
400|LET'S VISIT SPRINGFIELD|Vermont|Springfield in this state is where the common spring clothespin was invented & a Green Mountain guide is published
500|LET'S VISIT SPRINGFIELD|Oregon|If you hurt yourself in Springfield in this state, head over to the McKenzie-Willamette Hospital
100|INCREDIBLE EDIBLES|Adder|Larousse says this snake whose name is an antonym of subtracter was once eaten as a beauty treatment
200|INCREDIBLE EDIBLES|Silkworms|In China these fiber-spinning caterpillars are sometimes stir-fried
300|INCREDIBLE EDIBLES|Bat|The flying fox, a type of this mammal, is considered a taste treat in the Seychelles
400|INCREDIBLE EDIBLES|Cat Tails|The young shoots of this marsh plant named for a feline appendage may be eaten in salads
500|INCREDIBLE EDIBLES|frog|The green & the mute types of this amphibian are the ones the French prize for their legs
100|AWARDS|Roger Ebert|He may disagree with Gene Siskel, but he won '75 Pulitzer Prize for Film Criticism
200|AWARDS|Charles Lindbergh|In 1949 this aviator who flew the Atlantic solo in 1927 received the Wright Brothers Trophy from the N.A.A.
300|AWARDS|the Civil War|In 1907 the War Department authorized a campaign medal for this war -- 42 years after it ended
400|AWARDS|Harvard|This school's Hasty Pudding Club has been presenting its Woman of the Year Award since 1951
500|AWARDS|Niels Bohr|In 1957 this Danish physicist received the first Atoms for Peace Award
100|THE OLD COUNTRY|Sri Lanka|Until 1972 it was Ceylon
200|THE OLD COUNTRY|Thailand|It was Siam until 1939
300|THE OLD COUNTRY|Iran|It was Persia until 1935; in 1949 the government permitted both names
400|THE OLD COUNTRY|Cambodia|It was the Khmer Republic from 1970 until 1975
500|THE OLD COUNTRY|Madagascar|Until 1975 it was the Malagasy Republic
100|GREEN|Green Acres|Hooterville was the locale of this Eva Gabor sitcom
200|GREEN|Benjamin Franklin|He was never president, but he is the little green man on the front of the U.S. $100 bill
300|GREEN|Greenpeace|This international environmental group was formed in 1971 to oppose the U.S. testing nuclear devices in Alaska
400|GREEN|the Sahara|The Maghreb is a fertine green region of Africa separated from the rest of the continent by this 3-mil.-sq.-mi. area
